model_id,Price_log,price,fuelconsump_modelave,fuelconsump,Power_log,power,import,segment_num,makeorigin
706,17.39861718,0.367068379,9.278,0.304644667,7.073573909,0.372156461,0,5,D
707,18.10362602,0.497654027,12.372,0.624702596,7.603752436,0.600491925,0,12,D
715,18.93112783,0.650928503,14.143,0.807903176,7.357068093,0.494250761,1,12,D
720,18.65152591,0.599139085,12.149,0.601634426,7.673210124,0.630405723,0,7,C
721,18.28621724,0.531474586,11.066,0.489603807,7.523828516,0.566070566,1,6,C
725,18.30120556,0.534250806,10.898,0.472225096,7.735075328,0.657049615,1,6,C
726,18.75445652,0.618204464,12.239,0.61094445,7.920329034,0.736834044,1,11,C
727,19.29061489,0.717514691,13.924,0.785248785,7.693486957,0.639138479,1,13,C
733,16.87172535,0.26947455,8.505,0.224681908,6.719512035,0.219670312,0,4,C
734,18.02664231,0.483394677,10.628,0.444295024,7.437918488,0.52907113,0,5,C
735,17.14944483,0.320915294,8.178,0.190855488,6.917825555,0.305079296,0,4,C
739,16.63015378,0.224729325,7.662,0.137478018,6.550254261,0.146774957,0,4,C
740,16.2270905,0.150071706,7.723,0.143788145,6.534746421,0.140096093,0,4,C
741,17.79760633,0.440971362,10.012,0.380573084,7.341950177,0.487739829,0,5,C
743,17.21015852,0.33216102,8.314,0.204923968,6.860354514,0.280327866,0,4,C
745,18.30370347,0.534713482,10.284,0.408710044,7.604041663,0.600616488,1,4,C
749,18.46998091,0.565512314,10.56,0.437260784,7.622051819,0.60837304,1,5,C
764,18.39271412,0.55120053,11.58,0.542774387,7.597218288,0.59767782,1,14,C
769,17.0548351,0.303391155,8.046,0.177200786,6.789142353,0.249658458,0,4,C
770,17.83921717,0.448678753,9.637,0.341781318,7.32898901,0.482157758,0,5,C
771,17.72316962,0.427183782,9.296,0.306506672,7.268584105,0.456142781,0,5,C
772,16.47013984,0.195090653,7.619,0.133029896,6.463066562,0.109225258,0,2,C
773,16.59711798,0.21861025,7.736,0.145132926,6.522997313,0.135036028,0,2,C
775,16.65162047,0.228705504,7.401,0.110478949,6.70665487,0.214133032,0,4,C
778,16.38846982,0.17996328,8.804,0.255611875,6.625884147,0.179346976,0,5,C
779,18.01320067,0.480904943,11.031,0.485983242,7.364257246,0.49734696,0,10,C
780,17.3764669,0.36296558,8.199,0.193027827,7.011227255,0.345305219,0,4,C
783,18.39467171,0.551563125,11.396,0.523740561,7.373108753,0.501159097,1,10,C
785,19.64366712,0.782908984,13.69,0.761042723,8.137442044,0.830339528,1,13,C
790,16.14620754,0.135090116,7.722,0.143684701,6.822934048,0.264211749,0,4,A
792,15.41687988,0,6.333,0,6.281382974,0.030978396,0,1,A
800,16.37441571,0.177360099,11.129,0.496120823,6.209453366,0,0,12,A
802,15.90947124,0.091240505,8.027,0.175235337,6.584962501,0.161722982,0,10,A
