rspd_id,model_id,purchase
10100,715,0
10100,291,0
10102,565,1
10102,291,0
10102,785,0
10113,178,1
10113,351,0
10113,324,0
10134,418,1
10134,415,0
10134,102,0
10135,554,1
10135,707,0
10144,178,1
10144,440,0
10153,372,1
10153,32,0
10153,102,0
10158,415,1
10158,32,0
10158,102,0
10189,563,1
10189,707,0
10189,324,0
10201,309,1
10201,440,0
10201,401,0
10224,298,1
10224,75,0
10224,102,0
10234,309,1
10234,598,0
10234,405,0
10239,440,1
10239,650,0
10242,309,1
10254,309,1
10254,351,0
10291,309,1
10291,770,0
10291,59,0
10301,309,1
10301,340,0
10302,309,1
10302,324,0
10315,779,1
10315,231,0
10315,354,0
10316,309,1
10316,444,0
10316,779,0
10324,637,1
10324,309,0
10326,637,1
10326,309,0
10455,720,1
10455,231,0
10485,216,1
10564,157,1
10564,612,0
10564,102,0
10594,272,1
10594,102,0
10594,32,0
10630,216,1
10731,555,1
10731,102,0
10743,102,1
10743,144,0
10762,372,1
10762,102,0
10776,583,1
10776,102,0
10778,32,1
10778,102,0
10782,707,1
10783,205,1
10783,102,0
10854,637,1
10854,401,0
10854,562,0
10888,779,1
10888,324,0
10888,562,0
10903,661,1
10903,376,0
10903,224,0
10923,359,1
10923,779,0
10923,102,0
10964,444,1
10964,324,0
10970,735,1
10970,339,0
10970,291,0
10994,216,1
10994,779,0
10995,216,1
10995,309,0
10998,216,1
10998,374,0
11007,707,1
11007,231,0
11007,374,0
11010,563,1
11010,231,0
11014,707,1
11014,785,0
11014,303,0
11054,178,1
11054,440,0
11099,102,1
11099,32,0
11104,598,1
11104,707,0
11104,699,0
11120,208,1
11120,707,0
11120,585,0
11150,411,1
11150,102,0
11165,590,1
11165,102,0
11165,432,0
11173,102,1
11173,32,0
11184,707,1
11227,102,1
11227,32,0
11227,444,0
11264,650,1
11304,707,1
11312,178,1
11312,340,0
11316,699,1
11316,62,0
11316,231,0
11327,309,1
11335,10,1
11335,707,0
11389,650,1
11389,770,0
11401,650,1
11401,598,0
11417,178,1
11417,324,0
11422,178,1
11422,699,0
11485,95,1
11485,586,0
11485,102,0
11499,309,1
11510,291,1
11510,19,0
11510,404,0
11514,270,1
11514,178,0
11523,309,1
11523,401,0
11524,309,1
11524,598,0
11548,770,1
11548,707,0
11548,779,0
11589,770,1
11589,707,0
11618,272,1
11618,102,0
11698,726,1
11698,231,0
11924,707,1
11929,707,1
11929,401,0
11933,324,1
11933,779,0
11933,444,0
11946,309,1
11946,779,0
11947,309,1
11947,324,0
11947,32,0
11948,309,1
11948,324,0
11959,309,1
11959,324,0
11959,637,0
11971,309,1
11971,324,0
11971,699,0
11972,309,1
11972,779,0
11972,324,0
11973,309,1
11973,779,0
11987,440,1
11987,444,0
11987,583,0
11991,309,1
11991,312,0
11993,309,1
11993,779,0
12000,309,1
12000,440,0
12000,444,0
12020,291,1
12050,405,1
12050,309,0
12081,707,1
12081,779,0
12108,440,1
12108,309,0
12111,309,1
12111,351,0
12111,699,0
12147,674,1
12147,707,0
12160,309,1
12160,637,0
12190,509,1
12190,231,0
12190,725,0
12215,637,1
12215,444,0
12228,348,1
12228,102,0
12248,216,1
12248,6,0
12249,637,1
12249,444,0
12376,216,1
12376,586,0
12376,430,0
12377,216,1
12377,16,0
12377,764,0
12396,401,1
12396,309,0
12414,404,1
12414,707,0
12416,216,1
12416,309,0
12416,354,0
12422,450,1
12422,444,0
12422,785,0
12485,707,1
12485,505,0
12567,707,1
12590,324,1
12590,707,0
12667,272,1
12667,102,0
12822,707,1
12822,32,0
12828,32,1
12828,102,0
12859,707,1
12887,309,1
12887,226,0
12887,637,0
13003,404,1
13003,785,0
13003,707,0
13005,216,1
13029,102,1
13029,32,0
13030,102,1
13046,144,1
13046,102,0
13082,598,1
13082,309,0
13096,205,1
13096,102,0
13098,707,1
13098,517,0
13114,32,1
13114,102,0
13114,144,0
13123,583,1
13123,102,0
13127,18,1
13127,707,0
13205,309,1
13205,351,0
13219,444,1
13219,354,0
13236,359,1
13236,309,0
13236,598,0
13309,444,1
13309,779,0
13311,444,1
13413,707,1
13430,707,1
13430,67,0
13441,216,1
13445,216,1
13445,144,0
13476,102,1
13476,334,0
13541,707,1
13541,444,0
13586,486,1
13586,487,0
13615,707,1
13615,324,0
13632,707,1
13632,779,0
13635,309,1
13635,780,0
13635,480,0
13712,444,1
13712,779,0
13729,741,1
13729,707,0
13730,741,1
13730,309,0
13773,184,1
13773,769,0
13773,102,0
13775,216,1
13775,707,0
13825,32,1
13825,102,0
13852,312,1
13852,769,0
13852,309,0
13868,309,1
13868,779,0
13915,309,1
13915,673,0
13915,779,0
14005,16,1
14005,707,0
14089,102,1
14089,699,0
14125,324,1
14125,707,0
14156,102,1
14156,359,0
14167,707,1
14167,779,0
14200,707,1
14200,785,0
14293,309,1
14293,401,0
14367,721,1
14367,707,0
14383,707,1
14383,440,0
14396,309,1
14396,770,0
14396,163,0
14501,102,1
14511,32,1
14511,359,0
14511,102,0
14517,707,1
14517,401,0
14528,650,1
14528,439,0
14528,444,0
14537,650,1
14547,563,1
14547,707,0
14553,563,1
14553,707,0
14554,559,1
14554,444,0
14568,554,1
14568,444,0
14602,190,1
14602,102,0
14604,309,1
14604,699,0
14604,354,0
14609,778,1
14609,102,0
14611,359,1
14611,444,0
14611,707,0
14661,707,1
14661,324,0
14697,699,1
14697,707,0
14698,32,1
14698,102,0
14698,144,0
14701,569,1
14701,562,0
14702,102,1
14702,351,0
14719,309,1
14719,673,0
14719,699,0
14768,16,1
14768,707,0
14768,63,0
14784,707,1
14784,779,0
14784,16,0
14795,144,1
14795,102,0
14795,32,0
14801,707,1
14801,699,0
14801,354,0
14880,488,1
14880,726,0
14892,102,1
14892,144,0
14945,779,1
14945,707,0
14945,440,0
14971,780,1
14971,707,0
14982,779,1
14982,707,0
14982,440,0
15044,779,1
15044,16,0
15044,707,0
15056,779,1
15056,650,0
15056,439,0
15057,309,1
15057,440,0
15104,270,1
15104,102,0
15174,779,1
15174,305,0
15174,650,0
15186,309,1
15186,440,0
15201,779,1
15201,59,0
15201,707,0
15246,779,1
15246,32,0
15246,102,0
15339,779,1
15339,583,0
15339,707,0
15356,59,1
15356,707,0
15386,54,1
15386,734,0
15386,309,0
15389,54,1
15389,10,0
15389,707,0
15420,637,1
15420,707,0
15548,102,1
15548,32,0
15558,324,1
15558,707,0
15559,707,1
15559,351,0
15560,707,1
15560,699,0
15596,580,1
15596,309,0
15596,305,0
15608,488,1
15608,694,0
15608,764,0
15618,707,1
15618,699,0
15647,242,1
15647,102,0
15647,32,0
15691,309,1
15733,439,1
15733,309,0
15733,324,0
15829,615,1
15829,324,0
15829,102,0
15836,707,1
15836,340,0
15841,707,1
15841,324,0
15844,340,1
15844,673,0
15844,707,0
15848,340,1
15848,324,0
15848,707,0
15854,697,1
15854,707,0
15867,707,1
15867,697,0
15893,707,1
15893,598,0
15910,699,1
15910,707,0
15911,707,1
15911,699,0
15934,324,1
15934,707,0
15935,707,1
15935,324,0
15946,693,1
15946,487,0
15980,707,1
15981,707,1
15981,340,0
15985,707,1
15985,102,0
15988,707,1
15988,699,0
15990,697,1
15990,707,0
15992,697,1
15992,707,0
16041,309,1
16041,312,0
16179,178,1
16179,16,0
16221,178,1
16229,707,1
16229,333,0
16266,802,1
16266,102,0
16274,707,1
16274,734,0
16280,488,1
16280,487,0
16280,486,0
16301,779,1
16301,178,0
16301,324,0
16365,741,1
16365,178,0
16397,272,1
16397,32,0
16397,102,0
16469,102,1
16469,32,0
16484,205,1
16484,144,0
16484,102,0
16503,707,1
16507,790,1
16507,102,0
16515,699,1
16515,707,0
16522,102,1
16522,439,0
16553,555,1
16553,102,0
16561,205,1
16561,102,0
16571,707,1
16582,309,1
16617,771,1
16617,309,0
16666,309,1
16666,598,0
16669,312,1
16669,707,0
16697,16,1
16697,598,0
16697,707,0
16732,770,1
16732,178,0
16751,699,1
16751,707,0
16811,10,1
16811,102,0
16849,707,1
16849,699,0
16982,707,1
16983,16,1
16983,707,0
17047,699,1
17047,707,0
17057,102,1
17057,411,0
17075,699,1
17075,707,0
17214,309,1
17284,707,1
17289,102,1
17304,583,1
17304,351,0
17304,102,0
17315,309,1
17315,351,0
17315,324,0
17332,707,1
17339,102,1
17339,32,0
17341,102,1
17352,707,1
17408,351,1
17408,444,0
17408,226,0
17448,707,1
17448,699,0
17480,707,1
17480,583,0
17492,707,1
17511,699,1
17511,707,0
17527,699,1
17527,707,0
17539,697,1
17539,707,0
17556,707,1
17556,699,0
17559,309,1
17565,309,1
17637,779,1
17637,231,0
17693,359,1
17693,309,0
17725,305,1
17725,707,0
17725,324,0
17735,707,1
17735,324,0
17769,32,1
17769,144,0
17769,102,0
17828,102,1
17828,96,0
17830,707,1
17830,588,0
17853,310,1
17853,226,0
17853,309,0
17927,16,1
17927,707,0
17927,333,0
17937,691,1
17937,333,0
17937,707,0
17944,707,1
17976,587,1
17976,102,0
17981,16,1
17981,707,0
18067,562,1
18067,673,0
18069,120,1
18069,102,0
18145,32,1
18145,102,0
18153,102,1
18153,32,0
18154,707,1
18154,354,0
18209,32,1
18209,102,0
18213,707,1
18213,374,0
18217,715,1
18217,707,0
18217,231,0
18232,707,1
18232,770,0
18234,707,1
18248,324,1
18248,707,0
18275,707,1
18275,324,0
18365,707,1
18379,178,1
18388,598,1
18388,707,0
18461,802,1
18461,102,0
18476,296,1
18476,309,0
18476,779,0
18593,296,1
18593,220,0
18593,309,0
18597,294,1
18597,231,0
18597,374,0
18602,721,1
18602,231,0
18602,294,0
18607,216,1
18607,779,0
18607,309,0
18632,216,1
18632,405,0
18632,699,0
18641,726,1
18641,707,0
18686,674,1
18686,562,0
18686,16,0
18734,726,1
18734,231,0
18780,617,1
18780,309,0
18966,226,1
18966,231,0
18966,62,0
18983,309,1
18983,354,0
19019,673,1
19019,707,0
19028,309,1
19028,324,0
19028,699,0
19039,309,1
19039,779,0
19039,18,0
19040,309,1
19049,785,1
19049,231,0
19057,309,1
19057,707,0
19058,309,1
19058,324,0
19069,309,1
19069,637,0
19069,779,0
19072,231,1
19072,18,0
19074,309,1
19074,707,0
19084,309,1
19084,779,0
19085,309,1
19109,444,1
19109,707,0
19109,320,0
19110,444,1
19110,372,0
19110,405,0
19114,231,1
19175,309,1
19175,779,0
19222,309,1
19222,374,0
19222,231,0
19225,309,1
19225,374,0
19248,444,1
19248,562,0
19248,324,0
19278,444,1
19278,562,0
19278,354,0
19286,444,1
19286,749,0
19286,745,0
19290,444,1
19290,351,0
19303,769,1
19303,102,0
19303,430,0
19307,309,1
19307,312,0
19307,10,0
19323,443,1
19323,707,0
19323,374,0
19327,309,1
19343,444,1
19343,231,0
19365,443,1
19365,707,0
19365,220,0
19406,444,1
19406,598,0
19423,309,1
19423,741,0
19474,401,1
19474,707,0
19477,401,1
19477,309,0
19477,226,0
19509,444,1
19509,324,0
19540,62,1
19540,707,0
19540,324,0
19572,441,1
19572,741,0
19572,444,0
19573,354,1
19573,707,0
19594,405,1
19594,707,0
19603,406,1
19603,231,0
19663,440,1
19663,707,0
19663,351,0
19693,374,1
19693,707,0
19693,16,0
19806,354,1
19806,309,0
19806,324,0
19829,231,1
19829,18,0
19830,231,1
19837,231,1
19837,16,0
19843,231,1
19843,779,0
19872,231,1
19872,18,0
19872,505,0
19873,231,1
19873,404,0
19873,406,0
19912,231,1
19912,16,0
19912,10,0
19924,231,1
19924,741,0
19960,704,1
19960,707,0
19961,650,1
19961,648,0
19984,102,1
19992,707,1
19992,779,0
19999,707,1
19999,324,0
20065,102,1
20065,144,0
20070,102,1
20070,590,0
20145,178,1
20145,707,0
20146,559,1
20146,707,0
20148,565,1
20148,309,0
20176,715,1
20176,707,0
20203,487,1
20203,309,0
20220,562,1
20220,324,0
20221,562,1
20222,562,1
20222,779,0
20237,562,1
20237,324,0
20238,562,1
20238,324,0
20239,562,1
20239,779,0
20240,562,1
20240,779,0
20243,562,1
20243,699,0
20255,554,1
20255,309,0
20321,308,1
20321,310,0
20321,309,0
20351,216,1
20351,302,0
20377,226,1
20377,324,0
20377,309,0
20396,309,1
20397,309,1
20398,309,1
20401,216,1
20401,707,0
20427,309,1
20427,779,0
20468,309,1
20547,309,1
20571,769,1
20571,102,0
20588,309,1
20632,231,1
20633,231,1
20633,12,0
20636,231,1
20636,48,0
20671,401,1
20671,309,0
20673,637,1
20673,309,0
20718,727,1
20718,707,0
20718,16,0
20782,309,1
20782,226,0
20923,231,1
20923,16,0
20923,324,0
20961,637,1
20961,309,0
20993,779,1
20993,707,0
21047,178,1
21047,324,0
21058,102,1
21058,144,0
21088,707,1
21088,226,0
21108,32,1
21108,102,0
21132,487,1
21132,779,0
21172,309,1
21172,354,0
21174,309,1
21174,354,0
21174,637,0
21203,309,1
21203,32,0
21203,699,0
21216,309,1
21216,163,0
21234,309,1
21234,779,0
21246,401,1
21246,231,0
21246,779,0
21252,309,1
21253,401,1
21253,707,0
21258,216,1
21258,674,0
21286,743,1
21286,32,0
21286,178,0
21303,231,1
21303,637,0
21315,231,1
21315,18,0
21336,231,1
21339,231,1
21353,405,1
21353,231,0
21386,77,1
21386,102,0
21424,707,1
21424,583,0
21671,726,1
21671,178,0
21703,440,1
21703,444,0
22054,102,1
22054,32,0
22073,707,1
22073,715,0
22091,707,1
22113,77,1
22113,102,0
22209,309,1
22209,226,0
22219,17,1
22219,707,0
22231,231,1
22231,448,0
22233,734,1
22233,741,0
22233,444,0
22235,231,1
22235,707,0
22272,354,1
22272,707,0
22330,144,1
22330,102,0
22332,707,1
22332,779,0
22333,15,1
22333,707,0
22335,707,1
22335,637,0
22364,102,1
22364,32,0
22405,487,1
22423,562,1
22423,707,0
22462,309,1
22462,779,0
22462,226,0
22471,216,1
22471,588,0
22471,374,0
22515,231,1
22540,372,1
22540,32,0
22540,102,0
22553,707,1
22553,779,0
22576,707,1
22576,779,0
22583,102,1
22583,32,0
22618,144,1
22618,102,0
22642,487,1
22644,562,1
22653,609,1
22653,309,0
22653,226,0
22674,444,1
22674,226,0
22707,497,1
22707,562,0
22716,226,1
22716,741,0
22716,178,0
22731,775,1
22731,739,0
22731,102,0
22748,444,1
22748,324,0
22768,444,1
22768,303,0
22771,444,1
22771,354,0
22788,405,1
22788,231,0
22797,404,1
22797,715,0
22797,231,0
22798,405,1
22798,783,0
22798,231,0
22804,231,1
22804,707,0
22810,192,1
22810,102,0
22845,707,1
22845,699,0
22883,16,1
22883,707,0
22888,99,1
22888,102,0
22902,707,1
22902,324,0
22906,650,1
22906,102,0
22926,102,1
22926,348,0
22935,650,1
22962,707,1
22962,779,0
22970,487,1
22970,18,0
23014,650,1
23014,779,0
23032,32,1
23032,102,0
23213,404,1
23213,291,0
23255,192,1
23255,440,0
23255,178,0
23310,707,1
23310,779,0
23381,487,1
23391,588,1
23391,707,0
23397,102,1
23397,359,0
23409,102,1
23409,32,0
23490,309,1
23490,220,0
23496,376,1
23496,19,0
23496,67,0
23509,770,1
23509,707,0
23651,487,1
23651,497,0
23814,102,1
23815,707,1
23842,16,1
23842,707,0
23852,473,1
23852,102,0
23908,309,1
23928,309,1
23928,779,0
23934,429,1
23934,432,0
23934,102,0
24083,102,1
24107,707,1
24107,324,0
24238,102,1
24238,77,0
24331,296,1
24331,309,0
24342,609,1
24342,178,0
24412,351,1
24412,309,0
24412,673,0
24465,354,1
24465,444,0
24469,231,1
24469,16,0
24475,354,1
24475,324,0
24475,650,0
24493,312,1
24493,432,0
24493,309,0
24510,309,1
24510,780,0
24524,444,1
24524,715,0
24612,707,1
24612,699,0
24644,15,1
24644,707,0
24646,144,1
24646,707,0
24687,562,1
24770,309,1
24770,598,0
24773,309,1
24773,650,0
24774,309,1
24774,699,0
24775,309,1
24817,487,1
24973,102,1
24973,583,0
24993,487,1
24993,351,0
24997,487,1
24997,779,0
25013,707,1
25013,779,0
25104,216,1
25104,303,0
25133,354,1
25133,707,0
25133,699,0
25142,354,1
25142,707,0
25442,102,1
25473,178,1
25559,178,1
25601,354,1
25601,444,0
25601,226,0
25620,780,1
25620,178,0
25620,785,0
25696,178,1
25696,351,0
25709,707,1
25769,308,1
25769,429,0
25769,102,0
25805,186,1
25805,102,0
25805,647,0
25825,231,1
25825,785,0
25939,102,1
25939,144,0
25971,699,1
25971,324,0
25971,309,0
25972,699,1
25972,779,0
25972,707,0
26014,32,1
26014,102,0
26024,707,1
26024,324,0
26024,779,0
26028,17,1
26028,465,0
26028,707,0
26063,707,1
26063,603,0
26063,673,0
26117,559,1
26117,707,0
26118,715,1
